,Name,Latitude,Longitude,Elevation
0,UN 13433,39.4765,-106.5376,4094.0
1,Twin Sisters East,37.7718,-107.7860,4094.0
2,Jenkins Mountain,38.9651,-106.5429,4094.0
3,"""Sundog""",37.9321,-107.4385,4094.0
4,"""Oscars Peak""",37.8751,-107.7938,4094.0
5,Gray Needle,37.6465,-107.5896,4093.0
6,Vallecito Mountain,37.6504,-107.5663,4093.0
7,Grizzly Peak,39.6440,-105.8488,4093.0
8,UN 13427,37.9551,-107.5154,4093.0
9,Mummy Mountain,40.4751,-105.6237,4092.0
10,Spread Eagle Peak,38.1254,-105.6435,4091.0
11,"""Siberia Peak""",39.1249,-107.0871,4090.0
12,Eagles Nest,39.7757,-106.3504,4090.0
13,Peak Ten,37.6432,-107.5890,4090.0
14,The Index,37.6443,-107.6332,4090.0
15,Rowe Peak,40.4904,-105.6460,4090.0
16,Twin Thumbs,37.6288,-107.6090,4090.0
17,"""Mount Soso""",37.5962,-107.4863,4090.0
18,Little Giant Peak,37.7968,-107.5988,4089.0
19,Cleveland Peak,37.9043,-105.5435,4089.0
20,"""Heisshorn""",38.0782,-107.5115,4088.0
21,Peak Four,37.6599,-107.6076,4087.0
22,"""S 3""",38.0012,-107.8415,4087.0
23,Hilliard Peak,39.0243,-106.9096,4087.0
24,Navajo Peak,40.0535,-105.6465,4087.0
25,Finnback Knob,39.1926,-106.1918,4087.0
26,"Wilcox, Mount",39.6154,-105.7576,4087.0
27,Mariquita Peak,37.2376,-105.1529,4086.0
28,Peak Nine,37.6699,-107.5601,4085.0
29,UN 13402,37.9571,-106.8485,4085.0
30,"Rhoda, Mount",37.7657,-107.6054,4085.0
31,White Benchmark,38.9735,-106.9276,4085.0
32,UN 13401,37.9118,-105.5426,4085.0
33,Baldy Chato,38.0388,-106.9421,4085.0
34,Bartlett Mountain,39.3785,-106.1601,4084.0
35,South Arapaho Peak,40.0196,-105.6496,4083.0
36,Bent Peak,37.8607,-107.3807,4082.0
37,Parry Peak,39.8382,-105.7132,4082.0
38,Rogers Peak,39.6154,-105.6176,4082.0
39,Chicago Peak,37.9429,-107.7440,4080.0
40,Prize Benchmark,38.9954,-106.6113,4079.0
41,UN 13384,37.8960,-105.5554,4079.0
42,Baldy Cinco,37.9554,-107.1029,4079.0
43,Williams Mountain,39.1807,-106.6101,4079.0
44,"""East Pole Creek Mountain""",37.7932,-107.4165,4079.0
45,Gold Dust Peak,39.4790,-106.5946,4078.0
46,Precarious Peak,39.0168,-106.9621,4078.0
47,Geissler Mountain East,39.1488,-106.5732,4078.0
48,South Lookout Peak,37.8363,-107.7904,4078.0
49,"""Triangle Peak""",38.9918,-106.9096,4078.0
50,Music Mountain,37.9362,-105.5482,4078.0
51,"""S 5""",38.0057,-107.8424,4078.0
